Filename	word	vowel	F1	F2	F3	Duration	Timepoint	VowelPercent	MeasType
30_talent	Unlabeled	ai	825.1611789472271	947.5155122257745	1676.4857753926062	256	4	27.27	auto
30_talent	Unlabeled	ai	700.789988133222	797.2632142488185	1762.7180332754647	256	5	36.36	auto
30_talent	Unlabeled	ai	749.0440636299562	758.4784172532555	1826.8864774976187	256	6	45.45	auto
30_talent	Unlabeled	ai	672.3648404241842	985.8628746347879	1983.2922471478348	256	7	54.55	auto
30_talent	Unlabeled	ai	616.152167901526	952.9663572266504	2091.643871013159	256	8	63.64	auto
30_talent	Unlabeled	ai	565.1542856274755	880.8835159580708	2163.7834516419616	256	9	72.73	auto
30_talent	Unlabeled	ai	518.0876309770684	783.0325050513918	2201.324287354811	256	10	81.82	auto
30_talent	Unlabeled	ai	441.3094651742897	1581.5824181096002	2410.463619163123	256	11	90.91	auto
30_talent	Unlabeled	ai	412.27529998178	587.1459347187911	2282.349012947202	256	12	100.00	auto
31_untie	Unlabeled	iai	583.4014224032616	970.6256864751845	1741.0559410864726	329	1	0	auto
31_untie	Unlabeled	iai	793.5640604805541	1288.1787089415586	1720.4488755782015	329	2	9.09	auto
31_untie	Unlabeled	iai	842.8272430746963	1519.9961559577393	1700.1483565972849	329	3	18.18	auto
31_untie	Unlabeled	iai	880.6541779069083	1684.817539765841	1714.108032539483	329	4	27.27	auto
31_untie	Unlabeled	iai	575.0099856514423	850.9670352016815	1736.7155826423816	329	5	36.36	auto
31_untie	Unlabeled	iai	685.7031029119527	806.5619919902886	1786.8450826923267	329	6	45.45	auto
31_untie	Unlabeled	iai	705.1539380790922	730.5688167130447	1980.9028925441526	329	7	54.55	auto
31_untie	Unlabeled	iai	633.493267864837	679.7862670854349	2139.295685135039	329	8	63.64	auto
31_untie	Unlabeled	iai	519.2780875350741	798.9825873949352	2257.2907943542336	329	9	72.73	auto
31_untie	Unlabeled	iai	297.075861623807	1134.9331043544266	2297.8838784693594	329	10	81.82	auto
31_untie	Unlabeled	iai	381.7206601992592	2364.96188366094	2450.8586903136543	329	11	90.91	auto
31_untie	Unlabeled	iai	380.6944748337152	1739.335136075513	2454.561494817216	329	12	100.00	auto
32_outside	Unlabeled	uai	336.37884267896953	800.6531881641422	1992.4977142112919	546	1	0	auto
32_outside	Unlabeled	uai	494.821468716326	781.8024022744124	1949.0485939668051	546	2	9.09	auto
32_outside	Unlabeled	uai	772.3807319880466	1047.316328296666	1753.0368246034632	546	3	18.18	auto
32_outside	Unlabeled	uai	792.6852884157829	1110.5067977375004	1864.871412747326	546	4	27.27	auto
32_outside	Unlabeled	uai	821.8192246734477	1251.1975544775846	1962.2717221393789	546	5	36.36	auto
32_outside	Unlabeled	uai	911.0859769414159	1210.0514455504933	1690.164266249829	546	6	45.45	auto
32_outside	Unlabeled	uai	724.786949914644	1173.7987423514135	1861.362685079684	546	7	54.55	auto
32_outside	Unlabeled	uai	545.2472038757924	640.5351059265907	2122.279381185366	546	8	63.64	auto
32_outside	Unlabeled	uai	517.7715905648146	805.4887859897469	2224.591429671003	546	9	72.73	auto
32_outside	Unlabeled	uai	469.4228986177495	1761.12966631795	2339.7994016488224	546	10	81.82	auto
32_outside	Unlabeled	uai	458.3610163595174	2191.6742570914466	2441.8137767972153	546	11	90.91	auto
32_outside	Unlabeled	uai	587.2430972168402	1390.5707662669847	2503.0074515082856	546	12	100.00	auto
33_back	Unlabeled	ei	483.85262979088566	1035.6075796448335	1679.4678737950208	316	1	0	auto
33_back	Unlabeled	ei	550.3863511436263	965.1680114552692	1917.8952873866335	316	2	9.09	auto
33_back	Unlabeled	ei	514.9144162169612	923.9439401413538	2079.231230488031	316	3	18.18	auto
33_back	Unlabeled	ei	467.2197976885649	1138.3148757999331	2125.7498572277027	316	4	27.27	auto
33_back	Unlabeled	ei	409.0537201394642	1114.2071075330323	2244.389871403592	316	5	36.36	auto
33_back	Unlabeled	ei	395.62065471839605	1082.6604273846617	2349.791679426071	316	6	45.45	auto
